Year,Annual_Avg,Spring ,Summer ,Fall,Winter
1935,-3.346270928,-6.388888889,8.746980676,-0.537240537,-15.85470085
1936,-2.743624772,-3.134057971,8.070652174,-1.916971917,-10.61728395
1937,-2.146118721,-5.474033816,10.17210145,-1.431623932,-13.57407407
1938,-1.693302892,-3.843599034,9.583333333,0.418192918,-13.4845679
1939,-2.804414003,-5.908816425,9.338768116,-1.413308913,-15.2045177
1940,-3.765179114,-5.652173913,7.53321256,-2.554945055,-13.06790123
1941,-2.821917808,-5.060386473,7.584541063,-0.924908425,-14.36111111
1942,-2.834094368,-2.753623188,8.191425121,-0.622710623,-16.08641975
1943,-4.069254186,-7.267512077,8.191425121,-1.514041514,-15.11599512
1944,-2.913630844,-5.383454106,9.04589372,-0.732600733,-15.24382716
1945,-2.470319635,-2.620772947,8.070652174,-0.274725275,-15.54938272
1946,-2.408675799,-3.78321256,7.620772947,1.147741148,-14.22839506
1947,-2.635464231,-5.797101449,9.619565217,0.357142857,-16.52930403
1948,-2.874165149,-4.996980676,8.224637681,0.500610501,-11.44444444
1949,-1.668949772,-4.305555556,9.993961353,-1.083638584,-12.86419753
1950,-2.789193303,-6.548913043,8.118961353,-0.192307692,-11.45679012
1951,-2.324961948,-4.375,7.750603865,-0.970695971,-12.87851038
1952,-2.37704918,-5.29589372,9.154589372,-1.08974359,-12.19444444
1953,-1.843226788,-4.036835749,8.176328502,0.338827839,-11.83024691
1954,-2.941400304,-5.489130435,6.7602657,-0.952380952,-12.93518519
1955,-2.595890411,-3.910024155,9.918478261,-1.675824176,-13.96214896
1956,-3.203551913,-7.666062802,7.216183575,-0.726495726,-14.37037037
1957,-2.714611872,-4.640700483,7.617753623,-0.228937729,-12.25
1958,-3.286910198,-4.139492754,7.469806763,-1.715506716,-16.52469136
1959,-2.519025875,-5.030193237,9.402173913,-0.332722833,-12.39010989
1960,-2.736035216,-4.405193237,8.013285024,-0.787545788,-15.72839506
1961,-2.436073059,-5.92089372,8.439009662,1.956654457,-14.08024691
1962,-3.230593607,-4.323671498,7.898550725,-1.843711844,-15.67592593
1963,-3.517503805,-5.431763285,8.088768116,0.103785104,-15.75091575
1964,-2.911353977,-4.266304348,7.397342995,-1.73992674,-14.42901235
1965,-3.943683409,-6.219806763,6.998792271,-1.968864469,-13.47839506
1966,-2.799847793,-5.893719807,8.303140097,-0.705128205,-13.57098765
1967,-3.5,-7.77173913,9.109299517,-1.617826618,-15.32356532
1968,-3.310564663,-3.916062802,7.388285024,-0.677655678,-13.37962963
1969,-2.5,-5.827294686,8.318236715,0.051892552,-15.55246914
1970,-2.785388128,-4.749396135,8.976449275,0.747863248,-15.52160494
1971,-2.876712329,-6.132246377,8.073671498,1.257631258,-14.63064713
1972,-3.397844566,-5.404589372,7.841183575,-1.697191697,-13.70061728
1973,-1.799847793,-3.103864734,9.55615942,-1.330891331,-12.86728395
1974,-3.334094368,-6.34057971,8.275966184,-1.996336996,-13.04938272
1975,-2.595129376,-5.455917874,8.804347826,-0.042735043,-14.1025641
1976,-3.824377656,-4.676932367,8.719806763,-3.672161172,-17.50617284
1977,-3.171232877,-3.60205314,7.506038647,-0.665445665,-16.11111111
1978,-3.920091324,-6.292270531,8.315217391,-1.889499389,-15.16666667
1979,-2.200913242,-2.964975845,8.354468599,-0.061050061,-14.53907204
1980,-3.807680631,-4.275362319,7.832125604,-2.875457875,-14.90740741
1981,-2.683409437,-4.667874396,8.303140097,-1.15995116,-15.1882716
1982,-2.937595129,-4.945652174,6.476449275,0.625763126,-11.2345679
