Year,Bennington,Hubbard Brook,Underhill,Whiteface Mountain
1979,,4.756,,
1980,,5.035,,
1981,,6.918,,
1982,4.24,4.957,,
1983,5.268,5.189,,
1984,6.204,5.254,,
1985,,,5.577,5.214
1986,,4.712,5.602,4.765
1987,4.773,4.215,6.029,
1988,,4.349,,3.847
1989,6.244,6.789,6.098,5.772
1990,5.968,5.74,6.891,5.696
1991,7.003,5.142,5.274,
1992,5.134,4.983,4.24,3.571
1993,4.956,4.488,6.768,5.183
1994,5.524,5.221,6.565,4.636
1995,6.142,5.659,5.105,4.431
1996,6.426,5.966,4.734,4.484
1997,4.594,5.234,5.783,4.63
1998,5.601,5.223,6.839,5.874
1999,4.322,4.245,4.289,3.788
2000,6.509,5.078,5.548,5.01
2001,3.673,3.603,5.132,3.81
2002,7.188,4.618,5.954,6.026
2003,4.874,4.104,4.348,4.149
2004,4.895,4.264,5.726,4.504
2005,4.182,4.259,4.402,3.951
2006,4.197,3.439,4.152,3.481
2007,5.415,4.683,5.591,4.856
2008,4.447,4.08,4.347,3.333
2009,3.176,3.17,,2.569
2010,3.085,2.831,4.6,2.957
2011,3.789,3.57,,4.817
2012,,4.02,4.628,4.004
2013,4.449,3.484,4.635,4.084
2014,,2.592,4.572,3.892
2015,3.354,,4.278,3.77
2016,3.615,2.737,3.935,3.564
2017,3.535,3.67,4.777,4.339
2018,3.547,,4.593,3.945
2019,4.053,3.619,5.251,3.808
2020,2.487,2.055,3.275,3.329
2021,3.804,2.628,3.75,3.833
2022,3.307,2.262,3.867,3.499
