ID,1994,2002,2007,2017
Algonquin-1,NA,Sphagnum sp.,Vaccinium uliginosum,Empetrum nigrum
Algonquin-2,NA,Vaccinium uliginosum,Diapensia lapponica,Vaccinium uliginosum
Algonquin-3,NA,Diapensia lapponica,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-4,NA,Vaccinium oxycoccos,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-5,NA,Picea mariana,Picea mariana,Vaccinium oxycoccos
Algonquin-6,NA,Picea mariana,Picea mariana,Vaccinium uliginosum
Algonquin-7,NA,Carex bigelowii,Vaccinium uliginosum,Sphagnum pylaesii
Algonquin-8,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-9,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-10,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-11,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-12,NA,Vaccinium uliginosum,Carex bigelowii,Vaccinium uliginosum
Algonquin-13,NA,Vaccinium uliginosum,lichen,Vaccinium uliginosum
Algonquin-14,NA,Carex bigelowii,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-15,NA,Diapensia lapponica,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-16,NA,Trichophorum cespitosum,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-17,NA,Trichophorum cespitosum,Vaccinium uliginosum,Salix uva-ursi
Algonquin-18,NA,Trichophorum cespitosum,Vaccinium oxycoccos,Vaccinium uliginosum
Algonquin-19,NA,Vaccinium uliginosum,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-20,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-21,NA,lichen,Rhododendron groenlandicum,Vaccinium uliginosum
Algonquin-22,NA,Trichophorum cespitosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-23,NA,Diapensia lapponica,Trichophorum cespitosum,Trichophorum cespitosum
Algonquin-24,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-25,NA,Vaccinium uliginosum,lichen,Trichophorum cespitosum
Algonquin-26,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-27,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-28,NA,Carex bigelowii,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-29,NA,soil,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-30,NA,Rhizocarpon geographicum,rock,Vaccinium uliginosum
Algonquin-31,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-32,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-33,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-34,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-35,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-36,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-37,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-38,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-39,NA,Trichophorum cespitosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-40,NA,Trichophorum cespitosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-41,NA,Sphagnum sp.,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-42,NA,Polytrichum strictum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-43,NA,Carex bigelowii,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-44,NA,Vaccinium uliginosum,Sphagnum sp.,Vaccinium uliginosum
Algonquin-45,NA,Vaccinium uliginosum,Polytrichum strictum,Vaccinium uliginosum
Algonquin-46,NA,Diapensia lapponica,lichen,Vaccinium uliginosum
Algonquin-47,NA,Vaccinium uliginosum,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-48,NA,Vaccinium uliginosum,Thamnolia sp.,Trichophorum cespitosum
Algonquin-49,NA,Picea mariana,Picea mariana,Trichophorum cespitosum
Algonquin-50,NA,Picea mariana,Picea mariana,Trichophorum cespitosum
Algonquin-51,NA,Diapensia lapponica,Diapensia lapponica,Trichophorum cespitosum
Algonquin-52,NA,Vaccinium uliginosum,Carex bigelowii,Trichophorum cespitosum
Algonquin-53,NA,Vaccinium uliginosum,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-54,NA,Trichophorum cespitosum,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-55,NA,Diapensia lapponica,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-56,NA,Vaccinium uliginosum,Rhododendron groenlandicum,Rhododendron groenlandicum
Algonquin-57,NA,Rhizocarpon geographicum,Rhododendron groenlandicum,Rhododendron groenlandicum
Algonquin-58,NA,rock,lichen,Rhizocarpon geographicum
Algonquin-59,NA,Carex bigelowii,Trichophorum cespitosum,Carex bigelowii
Algonquin-60,NA,Vaccinium uliginosum,Carex bigelowii,Carex bigelowii
Algonquin-61,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-62,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-63,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-64,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-65,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-66,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-67,NA,Carex bigelowii,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-68,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-69,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-70,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-71,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-72,NA,Carex bigelowii,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-73,NA,Vaccinium oxycoccos,Sphagnum sp.,Vaccinium uliginosum
Algonquin-74,NA,Sphagnum sp.,root,Vaccinium uliginosum
Algonquin-75,NA,Sphagnum sp.,Polytrichum strictum,Vaccinium uliginosum
Algonquin-76,NA,Vaccinium uliginosum,moss,Vaccinium uliginosum
Algonquin-77,NA,Diapensia lapponica,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-78,NA,Picea mariana,Picea mariana,Trichophorum cespitosum
Algonquin-79,NA,Picea mariana,Picea mariana,Trichophorum cespitosum
Algonquin-80,NA,Vaccinium uliginosum,Empetrum nigrum,Trichophorum cespitosum
Algonquin-81,NA,Vaccinium uliginosum,Trichophorum cespitosum,Sphagnum pylaesii
Algonquin-82,NA,Trichophorum cespitosum,Vaccinium uliginosum,Salix uva-ursi
Algonquin-83,NA,soil,rock,rock
Algonquin-84,NA,Rhododendron groenlandicum,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-85,NA,Carex bigelowii,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-86,NA,rock,Rhododendron groenlandicum,Rhododendron groenlandicum
Algonquin-87,NA,Trichophorum cespitosum,lichen,Rhododendron groenlandicum
Algonquin-88,NA,Rhizocarpon geographicum,Diapensia lapponica,Polytrichum strictum
Algonquin-89,NA,Carex bigelowii,Diapensia lapponica,Empetrum nigrum
Algonquin-90,NA,Vaccinium uliginosum,Carex bigelowii,Carex bigelowii
Algonquin-91,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-92,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-93,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-94,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-95,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-96,NA,Trichophorum cespitosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-97,NA,Cladonia rangiferina,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-98,NA,Carex bigelowii,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-99,NA,Carex bigelowii,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-100,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-101,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-102,NA,Diapensia lapponica,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-103,NA,Vaccinium uliginosum,Rhododendron groenlandicum,Vaccinium uliginosum
Algonquin-104,NA,Vaccinium uliginosum,Polytrichum strictum,Vaccinium uliginosum
Algonquin-105,NA,Picea mariana,Picea mariana,Vaccinium uliginosum
Algonquin-106,NA,soil,lichen,Vaccinium uliginosum
Algonquin-107,NA,Picea mariana,Picea mariana,Trichophorum cespitosum
Algonquin-108,NA,soil,Empetrum nigrum,Trichophorum cespitosum
Algonquin-109,NA,Vaccinium uliginosum,Vaccinium uliginosum,Sphagnum pylaesii
Algonquin-110,NA,Vaccinium uliginosum,Vaccinium uliginosum,soil
Algonquin-111,NA,lichen,lichen,soil
Algonquin-112,NA,Trichophorum cespitosum,Vaccinium uliginosum,Salix uva-ursi
Algonquin-113,NA,Vaccinium uliginosum,Trichophorum cespitosum,Rhododendron groenlandicum
Algonquin-114,NA,Sphagnum sp.,Empetrum nigrum,Rhododendron groenlandicum
Algonquin-115,NA,Diapensia lapponica,Diapensia lapponica,Rhododendron groenlandicum
Algonquin-116,NA,Vaccinium uliginosum,Vaccinium uliginosum,lichen
Algonquin-117,NA,soil,lichen,lichen
Algonquin-118,NA,rock,Vaccinium uliginosum,Diapensia lapponica
Algonquin-119,NA,Vaccinium uliginosum,Vaccinium uliginosum,Carex bigelowii
Algonquin-120,NA,Vaccinium uliginosum,Vaccinium uliginosum,Carex bigelowii
Algonquin-121,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-122,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-123,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-124,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-125,NA,Diapensia lapponica,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-126,NA,Cladonia rangiferina,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-127,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-128,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-129,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-130,NA,Rhododendron groenlandicum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-131,NA,Sphagnum sp.,Sphagnum sp.,Vaccinium uliginosum
Algonquin-132,NA,Vaccinium uliginosum,Polytrichum strictum,Vaccinium uliginosum
Algonquin-133,NA,Picea mariana,Picea mariana,Vaccinium uliginosum
Algonquin-134,NA,Diapensia lapponica,Carex bigelowii,Vaccinium uliginosum
Algonquin-135,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium oxycoccos
Algonquin-136,NA,Vaccinium uliginosum,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-137,NA,Rhododendron groenlandicum,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-138,NA,lichen,Rhizocarpon geographicum,Trichophorum cespitosum
Algonquin-139,NA,Vaccinium uliginosum,Diapensia lapponica,Trichophorum cespitosum
Algonquin-140,NA,Vaccinium uliginosum,Vaccinium uliginosum,Sphagnum pylaesii
