site,year,Abies balsamea,Agrostis mertensii,Alnus viridis  ssp. crispa ,Andreaea rupestris,Betula cordifolia,Carex bigelowii,Cetraria spp.,Chamaedaphne calyculata,Cladonia rangiferina,Cladonia spp.,Coptis trifolia,Cornus canadensis,Diapensia lapponica,Dicranum elongatum,Drosera rotundifolia,Empetrum nigrum,Eriophorum vaginatum var. spissum,Geocaulon lividum,Gymnocolea inflata,Hypnum imponens,Kalmia angustifolia,Kalmia polifolia,Larix laricina,Leucobryum glaucum,lichen,Lycopodium selago,Marsupella emarginata,Minuartia groenlandica,moss,Picea mariana,Picea rubens,Pleurozium schreberi,Pogonatum alpinum,Pogonatum urnigerum,Pohlia nutans,Polytrichum juniperinum,Polytrichum spp.,Polytrichum strictum,Rhacomitrium fasciculare,Rhizocarpon geographicum,Rhododendron groenlandicum,Rhododendron lapponicum,rock,Salix uva-ursi,Sibbaldiopsis tridentata,soil,Sphagnum pylaesii,Sphagnum spp.,Spiraea alba var. latifolia,Thamnolia spp.,Trichophorum cespitosum,Trientalis borealis,Umbilicaria spp.,Vaccinium angustifolium,Vaccinium boreale,Vaccinium cespitosum,Vaccinium oxycoccos ,Vaccinium uliginosum
algonquin-T1,1984,0,0,0,0.001666667,0,0.1,0.093333333,0,0,0.006666667,0,0,0.061666667,0.03,0,0.013333333,0,0,0,0.001666667,0,0,0,0,0.023333333,0.001666667,0,0,0,0.033333333,0,0,0,0,0,0.068333333,0,0,0,0.005,0.01,0,0.021666667,0,0,0.04,0,0.043333333,0,0,0.04,0,0,0,0,0,0.005,0.4
algonquin-T1,1994,0,0,0,0,0,0.056666667,0.093333333,0,0.003333333,0.003333333,0,0,0.056666667,0.015,0,0.018333333,0,0,0,0.003333333,0,0,0,0,0.026666667,0,0,0,0.001666667,0.041666667,0,0,0,0,0,0.03,0,0,0,0.003333333,0.028333333,0,0.01,0,0,0.018333333,0,0.053333333,0,0,0.088333333,0,0,0,0,0,0.008333333,0.44
algonquin-T1,2002,0,0,0,0,0,0.06,0.023333333,0,0.001666667,0.018333333,0,0,0.041666667,0,0,0.01,0,0,0,0,0,0,0,0,0.021666667,0,0,0,0,0.045,0,0,0,0,0,0.001666667,0,0.018333333,0,0.013333333,0.018333333,0,0.01,0,0,0.028333333,0,0.025,0,0.006666667,0.138333333,0,0,0,0,0,0.013333333,0.505
algonquin-T1,2007,0,0,0,0,0,0.046666667,0,0,0,0,0,0,0.025,0,0,0.02,0,0,0,0,0,0,0,0,0.046666667,0,0,0,0.026666667,0.046666667,0,0,0,0,0,0,0,0,0,0.016666667,0.038333333,0,0.008333333,0,0,0.006666667,0,0.01,0,0,0.138333333,0,0.001666667,0,0,0,0.01,0.558333333
algonquin-T1,2017,0.001666667,0,0,0,0.003333333,0.043333333,0,0,0.008333333,0,0,0,0.021666667,0.001666667,0,0.025,0,0,0.01,0.001666667,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.001666667,0.09,0,0.006666667,0.006666667,0.001666667,0.005,0.006666667,0.051666667,0,0.001666667,0.148333333,0,0,0,0,0,0.006666667,0.528333333
algonquin-T2,1984,0,0.003508772,0,0,0,0.264912281,0.043859649,0.001754386,0,0.001754386,0,0,0.024561404,0.01754386,0,0,0,0,0.005263158,0,0,0,0,0,0,0,0,0,0,0.019298246,0,0,0.010526316,0,0,0.089473684,0,0,0,0,0.003508772,0,0.007017544,0,0,0.026315789,0,0.119298246,0,0,0.015789474,0,0,0,0,0,0.00877193,0.336842105
algonquin-T2,1994,0,0,0,0,0,0.053333333,0.045,0.003333333,0,0,0.001666667,0,0.025,0.003333333,0,0.003333333,0,0,0,0.001666667,0,0,0,0,0.005,0,0,0,0,0.073333333,0,0,0,0,0,0.115,0.015,0,0,0,0.005,0,0.001666667,0,0,0,0,0.1,0,0,0.026666667,0,0,0,0,0,0.013333333,0.508333333
algonquin-T2,2002,0,0,0,0.001666667,0,0.068333333,0.01,0.02,0,0.01,0,0.003333333,0.005,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.045,0,0,0,0,0.015,0,0.006666667,0,0.003333333,0.03,0,0.046666667,0,0.003333333,0.023333333,0,0,0,0,0,0.05,0.605
algonquin-T2,2007,0,0,0,0.003333333,0,0.065,0,0.02,0,0,0,0,0.015,0,0,0.015,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0.023333333,0.028333333,0,0,0,0,0,0,0,0,0,0,0.031666667,0,0.003333333,0,0,0.013333333,0,0.018333333,0,0,0.016666667,0,0,0,0,0,0.026666667,0.696666667
algonquin-T3,1984,0,0,0,0.011666667,0,0.158333333,0.018333333,0,0,0,0,0,0.015,0,0,0.001666667,0.028333333,0,0,0,0,0,0,0,0.096666667,0,0,0,0,0.02,0,0,0,0,0,0.023333333,0,0,0,0.018333333,0,0,0.053333333,0.01,0,0.068333333,0,0.053333333,0,0,0.103333333,0,0,0,0,0,0.003333333,0.316666667
