site,year,Abies balsamea,Agrostis mertensii,Andreaea rupestris,Anthoxanthum monticola,Arctoparmelia centrifuga,Aspicilia cinerea,Betula cordifolia,Bistorta vivipara,Campanula rotundifolia,Carex bigelowii,Carex brunnescens,Cetraria spp.,Cladonia amaurocraea,Cladonia arbuscula,Cladonia crispata,Cladonia pleurota,Cladonia rangiferina,Cladonia spp.,Cladonia stellaris,Cladonia stygia,Cladonia uncialis,Conostomum tetragonum,Cornus canadensis,Deschampsia flexuosa,Diapensia lapponica,Flavocetraria cucullata,Geum peckii,Juncus trifidus,Kalmia procumbens,lichen,Lycopodium spp.,Maianthemum canadense,Minuartia groenlandica,moss,Nabalus spp.,Nabalus trifoliolata,Ochrolechia frigida,Pleurozium schreberi,Polytrichum juniperinum,Polytrichum spp.,Polytrichum strictum,Rhizocarpon geographicum,Rhododendron groenlandicum,Rhododendron lapponicum,rock,Salix uva-ursi,Sibbaldiopsis tridentata,soil,Solidago leiocarpa,Solidago macrophylla,Spinulum annotinum,Spinulum canadense,Stereocaulon spp.,Thamnolia spp.,Trapeliopsis spp.,Trichophorum cespitosum,Trientalis borealis,Umbilicaria spp.,Vaccinium boreale,Vaccinium uliginosum,Vaccinium vitis-idaea
AlpGard-T1,1983,0,0.002201249,0,0,0,0,0,0,0,0.03264801,0,0.074115456,0,0,0,0,0,0.004096834,0,0,0,0,0.002134472,0.001185818,0.276135189,0,0.063958233,0.096337413,0.070263206,0.352130994,0.003913198,0.000237164,0.001964085,0.027804575,0.003083126,0,0,0,0,0,0,0.031657356,0.013992648,0.001591645,0.082681564,0.030986143,0.069236247,0.208700059,0.007230043,0,0,0,0,0,0,0.070248234,0.000355745,0.001862197,0.032372821,0.317355004,0.119521274
AlpGard-T1,1989,0,0,0,0,0,0,0,0,0,0.005586592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197765363,0,0.002979516,0.078957169,0.041713222,0.141154562,0,0,0,0,0,0,0,0,0,0.018249534,0,0,0,0.013780261,0.120297952,0,0.000744879,0.23575419,0.001489758,0,0,0,0,0,0,0,0,0,0,0.113594041,0.027932961
AlpGard-T1,2000,0,0.013972728,0,0,0.000372439,0,0,0,0,0.032442893,0,0.05735568,0,0,0,0,0.002979516,0,0,0,0,0,0.000236295,0.002481096,0.259282517,0,0.036218112,0.110555694,0.120273442,0.274488687,0.001299622,0,0.00973975,0.008686588,0.009850065,0,0,0,0,0.004469274,0,0.039106145,0.00508034,0.00906686,0.100931099,0.02551052,0.029670675,0.27797714,0.012128528,0,0,0,0,0,0.000744879,0.050583609,0.002599244,0.000372439,0.031427221,0.427088063,0.045243476
AlpGard-T1,2009,0,0.004280983,0,0,0,0.002607076,0,0,0,0.019796841,0,0.036871508,0,0.002607076,0,0,0,0.005586592,0,0,0,0,0,0.002011358,0.286569441,0,0.041767554,0.048449829,0.172207034,0.275459843,0.003904401,0,0,0.005240856,0.004684268,0,0.02867784,0,0,0.004096834,0,0.032774674,0.010056791,0.007208017,0.05698324,0.025519243,0.059532327,0.145657943,0.013232882,0,0,0,0,0,0.000744879,0.049623771,0,0.002607076,0.03419309,0.552400146,0.064615737
AlpGard-T1,2017,0,0.000118469,0,0,0,0.002234637,0,0,0,0.002894359,0,0.08566108,0,0.009310987,0,0.002234637,0,0.000744879,0,0,0.000372439,0,0,0.001303163,0.29400834,0,0.035274312,0.018297628,0.154302192,0.316425172,0.002250918,0,0,0.002606326,0.009444988,0.000372439,0.043947858,0,0,0.000372439,0,0.030912477,0.014690203,0.016199992,0.034636872,0.046145432,0.036561194,0.166506038,0.007092631,0,0,0,0,0,0,0.011611499,0.000829286,0.001117318,0.02665561,0.57615249,0.048339256
AlpGard-T1,2024,0,0.003696858,0,0,0,0.003696858,0,0,0,0.044362292,0,0.020332717,0,0,0.001848429,0,0,0,0,0.020332717,0,0,0,0,0.120147874,0,0.012939002,0.182994455,0.025878004,0,0,0,0,0,0,0.001848429,0,0,0,0,0,0.055452865,0,0.014787431,0.012939002,0.01663586,0.027726433,0.020332717,0.005545287,0,0,0,0,0,0,0.112754159,0,0.001848429,0,0.282809612,0.011090573
AlpGard-T2,1983,0,0,0,0,0,0,0,0,0,0,0,0.181001727,0,0,0,0,0,0.010708117,0,0,0,0,0.003454231,0.000690846,0.093955095,0,0,0.046632124,0.011744387,0.060794473,0,0,0,0,0,0,0,0,0,0,0,0.011744387,0.013816926,0.000345423,0.021416235,0,0.05388601,0.09671848,0.001036269,0,0,0,0,0,0,0.029360967,0,0,0.035924007,0.215198618,0.111571675
AlpGard-T2,1989,0,0,0,0,0,0,0,0,0,0,0,0.244559585,0,0,0,0,0,0,0,0,0,0,0,0,0.104663212,0,0.000345423,0.072884283,0.021761658,0.201727115,0.004835924,0,0,0,0,0,0,0,0,0,0,0,0.002072539,0,0.0417962,0,0.004145078,0.180656304,0,0,0,0,0,0,0,0,0,0,0,0.104317789,0.01865285
AlpGard-T2,2000,0,0,0,0,0,0,0,0,0,0.000690846,0,0.197582038,0,0,0,0,0.008290155,0.00552677,0,0,0,0,0,0,0.06701209,0,0,0.049395509,0.096373057,0.016925734,0.002763385,0,0,0,0,0,0,0,0,0.003454231,0,0.011398964,0.003108808,0,0.027288428,0,0.015544041,0.165457686,0,0,0,0,0,0,0,0.011744387,0.005872193,0,0.031088083,0.244559585,0.039032815
AlpGard-T2,2009,0,0.000690846,0,0,0,0.001381693,0,0,0,0,0,0.136096718,0,0.005872193,0,0.010017271,0,0.015544041,0,0,0,0,0,0.003108808,0.086355786,0,0,0.023834197,0.094300518,0.033506045,0,0,0,0,0,0,0.000690846,0,0,0.000690846,0,0.012435233,0.002763385,0,0.016580311,0,0.030397237,0.101208981,0,0,0,0.001381693,0.000690846,0,0,0.011744387,0.003799655,0,0.035578584,0.318825561,0.055267703
