id,mountain,site,state,measure,Year,site_year,name,period,SWE,Tmax,Tmin,Tmean,TotalN,2D,3D,Arctic,Non-Arctic,Transitional,Non-Plant,Shrub
algonquin-T1-1984,algonquin,T1,NY,point,1984,algonquin-1984,Algonquin,1983-2003,291.34,9.659041096,-3.414054795,3.122493151,5.214,0.556666667,0.443333333,0.286666667,0.16,0.491666666,0.061666667,0.415
algonquin-T2-1984,algonquin,T2,NY,point,1984,algonquin-1984,Algonquin,1983-2003,291.34,9.659041096,-3.414054795,3.122493151,5.214,0.489999998,0.51,0.221666667,0.183333332,0.566666666,0.028333333,0.476666666
algonquin-T3-1984,algonquin,T3,NY,point,1984,algonquin-1984,Algonquin,1983-2003,291.34,9.659041096,-3.414054795,3.122493151,5.214,0.431666666,0.568333333,0.125,0.203333333,0.633333333,0.038333333,0.536666666
algonquin-T1-1994,algonquin,T1,NY,point,1994,algonquin-1994,Algonquin,1983-2003,347.28,9.957452055,-3.946164384,3.005643836,4.636,0.356666668,0.643333333,0.071666667,0.16,0.753333334,0.015,0.606666666
algonquin-T2-1994,algonquin,T2,NY,point,1994,algonquin-1994,Algonquin,1983-2003,347.28,9.957452055,-3.946164384,3.005643836,4.636,0.376666669,0.623333333,0.075000001,0.231666668,0.681666666,0.011666667,0.625
algonquin-T3-1994,algonquin,T3,NY,point,1994,algonquin-1994,Algonquin,1983-2003,347.28,9.957452055,-3.946164384,3.005643836,4.636,0.638596493,0.361403509,0.354385966,0.240350878,0.371929825,0.033333333,0.350877193
algonquin-T1-2002,algonquin,T1,NY,point,2002,algonquin-2002,Algonquin,1983-2003,289.24,9.918794521,-2.888657534,3.515068493,6.026,0.41,0.589999999,0.126666666,0.276666667,0.594999999,0.001666667,0.529999999
algonquin-T2-2002,algonquin,T2,NY,point,2002,algonquin-2002,Algonquin,1983-2003,289.24,9.918794521,-2.888657534,3.515068493,6.026,0.319999999,0.68,0.088333333,0.191666666,0.683333333,0.036666667,0.69
algonquin-T3-2002,algonquin,T3,NY,point,2002,algonquin-2002,Algonquin,1983-2003,289.24,9.918794521,-2.888657534,3.515068493,6.026,0.223333332,0.776666667,0.083333333,0.081666667,0.818333333,0.016666666,0.775000001
algonquin-T1-2007,algonquin,T1,NY,point,2007,algonquin-2007,Algonquin,2004-2024,399.37,10.73816438,-3.440136986,3.649013699,4.856,0.421666669,0.578333334,0.063333333,0.255000001,0.623333335,0.058333334,0.401666667
algonquin-T2-2007,algonquin,T2,NY,point,2007,algonquin-2007,Algonquin,2004-2024,399.37,10.73816438,-3.440136986,3.649013699,4.856,0.396666667,0.603333333,0.045,0.211666666,0.656666667,0.086666667,0.414999999
algonquin-T3-2007,algonquin,T3,NY,point,2007,algonquin-2007,Algonquin,2004-2024,399.37,10.73816438,-3.440136986,3.649013699,4.856,0.398333333,0.601666665,0.066666667,0.331666666,0.544999999,0.056666666,0.374999999
