id,mountain,site,state,measure,Year,site_year,name,period,Tmax,Tmin,Tmean,TotalN,2D,3D,Arctic,Non-Arctic,Transitional,Non-Plant,Shrub
algonquin-T1-1984,algonquin,T1,NY,point,1984,algonquin-1984,Algonquin,1983-2003,9.659041096,-3.414054795,3.122493151,5.214,0.556666667,0.443333333,0.286666667,0.16,0.491666666,0.061666667,0.415
algonquin-T1-1994,algonquin,T1,NY,point,1994,algonquin-1994,Algonquin,1983-2003,9.957452055,-3.946164384,3.005643836,4.636,0.356666668,0.643333333,0.071666667,0.16,0.753333334,0.015,0.606666666
algonquin-T1-2002,algonquin,T1,NY,point,2002,algonquin-2002,Algonquin,1983-2003,9.918794521,-2.888657534,3.515068493,6.026,0.41,0.589999999,0.126666666,0.276666667,0.594999999,0.001666667,0.529999999
algonquin-T1-2007,algonquin,T1,NY,point,2007,algonquin-2007,Algonquin,2004-2017,10.73816438,-3.440136986,3.649013699,4.856,0.421666669,0.578333334,0.063333333,0.255000001,0.623333335,0.058333334,0.401666667
algonquin-T1-2017,algonquin,T1,NY,point,2017,algonquin-2017,Algonquin,2004-2017,9.008876712,-3.62890411,2.689986301,4.339,0.326666667,0.673333333,0.041666667,0.328333333,0.575,0.055,0.466666666
algonquin-T2-1984,algonquin,T2,NY,point,1984,algonquin-1984,Algonquin,1983-2003,9.659041096,-3.414054795,3.122493151,5.214,0.489999998,0.51,0.221666667,0.183333332,0.566666666,0.028333333,0.476666666
algonquin-T2-1994,algonquin,T2,NY,point,1994,algonquin-1994,Algonquin,1983-2003,9.957452055,-3.946164384,3.005643836,4.636,0.376666669,0.623333333,0.075000001,0.231666668,0.681666666,0.011666667,0.625
algonquin-T2-2002,algonquin,T2,NY,point,2002,algonquin-2002,Algonquin,1983-2003,9.918794521,-2.888657534,3.515068493,6.026,0.319999999,0.68,0.088333333,0.191666666,0.683333333,0.036666667,0.69
algonquin-T2-2007,algonquin,T2,NY,point,2007,algonquin-2007,Algonquin,2004-2017,10.73816438,-3.440136986,3.649013699,4.856,0.396666667,0.603333333,0.045,0.211666666,0.656666667,0.086666667,0.414999999
algonquin-T3-1984,algonquin,T3,NY,point,1984,algonquin-1984,Algonquin,1983-2003,9.659041096,-3.414054795,3.122493151,5.214,0.431666666,0.568333333,0.125,0.203333333,0.633333333,0.038333333,0.536666666
algonquin-T3-1994,algonquin,T3,NY,point,1994,algonquin-1994,Algonquin,1983-2003,9.957452055,-3.946164384,3.005643836,4.636,0.638596493,0.361403509,0.354385966,0.240350878,0.371929825,0.033333333,0.350877193
algonquin-T3-2002,algonquin,T3,NY,point,2002,algonquin-2002,Algonquin,1983-2003,9.918794521,-2.888657534,3.515068493,6.026,0.223333332,0.776666667,0.083333333,0.081666667,0.818333333,0.016666666,0.775000001
algonquin-T3-2007,algonquin,T3,NY,point,2007,algonquin-2007,Algonquin,2004-2017,10.73816438,-3.440136986,3.649013699,4.856,0.398333333,0.601666665,0.066666667,0.331666666,0.544999999,0.056666666,0.374999999
algonquin-T3-2017,algonquin,T3,NY,point,2017,algonquin-2017,Algonquin,2004-2017,9.008876712,-3.62890411,2.689986301,4.339,0.406666668,0.593333335,0.02,0.253333334,0.655000002,0.071666667,0.378333334
iroquois-T1-1984,iroquois,T1,NY,point,1984,iroquois-1984,Iroquois,1983-2003,7.764876712,-5.985287671,0.889794521,5.214,0.444559586,0.491537132,0.315025906,0.008981002,0.515716753,0.096373057,0.491537132
iroquois-T1-1994,iroquois,T1,NY,point,1994,iroquois-1994,Iroquois,1983-2003,8.844821918,-6.222027397,1.31139726,4.636,0.812127585,0.187171399,0.105853487,0.011566772,0.466526464,0.415352261,0.187171399
iroquois-T1-2002,iroquois,T1,NY,point,2002,iroquois-2002,Iroquois,1983-2003,8.156273973,-5.206821918,1.474726027,6.026,0.548895899,0.414300737,0.368033648,0.026288118,0.443743429,0.125131441,0.414300737
iroquois-T1-2007,iroquois,T1,NY,point,2007,iroquois-2007,Iroquois,2004-2017,9.828164384,-5.719835616,2.054164384,4.856,0.89258397,0.10741603,0.317259727,0.142001995,0.465912871,0.177585633,0.10741603
iroquois-T1-2017,iroquois,T1,NY,point,2017,iroquois-2017,Iroquois,2004-2017,6.639123288,-6.858493151,-0.109684932,4.339,0.747921518,0.169936814,0.17426006,0.024609245,0.426338544,0.275024942,0.169936814
