Year,Type,SO4,NO3,NH4,TOC
2023,CLOUD,8.38,9.39,4.48,27.17
2023,CLOUD,4.09,7.11,2.21,11.08
2023,CLOUD,3.63,5.22,2.63,9.42
2023,CLOUD,3.14,2.09,1.42,14.28
2023,CLOUD,2.35,5.2,1.23,13.64
2023,CLOUD,2.08,2.49,1.16,3.97
2023,CLOUD,1.95,2.55,0.45,5.49
2023,CLOUD,1.89,0.93,0.66,7.89
2023,CLOUD,1.88,1.67,0.51,8.62
2023,CLOUD,1.86,3.46,1.29,4.3
2023,CLOUD,1.83,1.46,0.94,7.82
2023,CLOUD,1.73,1.1,0.57,3.67
2023,CLOUD,1.66,3.4,1.64,6.84
2023,CLOUD,1.6,1.12,,8.03
2023,CLOUD,1.43,0.76,0.28,3.59
2023,CLOUD,1.42,1.77,0.89,13.5
2023,CLOUD,1.41,1.4,0.46,3.12
2023,CLOUD,1.35,0.9,0.26,
2023,CLOUD,1.32,1.41,0.97,11.39
2023,CLOUD,1.28,1.05,0.62,5.02
2023,CLOUD,1.24,1.56,0.59,2.39
2023,CLOUD,1.23,1.59,0.16,5.55
2023,CLOUD,1.18,3.21,1.19,4.03
2023,CLOUD,1.18,1.13,0.25,4.46
2023,CLOUD,1.12,2.4,0.49,6.04
2023,CLOUD,1.11,0.78,0.35,4.19
2023,CLOUD,1.02,1.01,0.48,9.37
2023,CLOUD,1,1.81,0.21,2.25
2023,CLOUD,0.9,2.11,0.78,1.54
2023,CLOUD,0.87,0.63,0.12,6.08
2023,CLOUD,0.86,1.67,0.32,2.92
2023,CLOUD,0.83,1.27,0.17,4.3
2023,CLOUD,0.83,1.89,,3.17
2023,CLOUD,0.82,0.73,0.36,5.01
2023,CLOUD,0.82,0.39,0.15,1.26
2023,CLOUD,0.81,1.13,0.1,2.35
2023,CLOUD,0.77,2.51,0.26,2.04
2023,CLOUD,0.74,1.19,0.12,1.74
2023,CLOUD,0.7,0.6,0.22,1.44
2023,CLOUD,0.66,0.56,0.17,0.99
2023,CLOUD,0.62,1.69,0.07,1.77
2023,CLOUD,0.59,0.23,0.1,1.11
2023,CLOUD,0.55,0.88,0.21,2.82
