Year,v,CLOUD,RAIN
1984,PH,3.76,4.13
1985,PH,3.86,4.15
1986,PH,3.67,4.06
1987,PH,3.87,4.35
1988,PH,4.05,4.35
1989,PH,3.79,4.36
1990,PH,3.64,4.3
1991,PH,3.82,4.3
1992,PH,3.79,4.25
1993,PH,3.97,4.36
1994,PH,3.57,4
1995,PH,3.8,4.31
1996,PH,3.82,4.4
1997,PH,3.83,4.2
1998,PH,3.95,4.55
1999,PH,3.96,4.24
2000,PH,3.96,4.26
2001,PH,3.98,4.25
2002,PH,3.77,4.45
2003,PH,4.13,4.22
2004,PH,4.01,4.34
2005,PH,3.79,4.17
2006,PH,3.99,4.51
2007,PH,4.16,4.59
2008,PH,4.14,4.6
2009,PH,4.57,4.87
2010,PH,4.46,4.79
2011,PH,4.62,5.12
2012,PH,4.52,4.99
2013,PH,4.5,4.83
2014,PH,4.66,5
2015,PH,4.47,4.91
2016,PH,4.98,4.96
2017,PH,4.66,4.99
2018,PH,5.04,4.96
2019,PH,5.24,5.18
2020,PH,4.85,5.01
2021,PH,4.92,4.93
2022,PH,5.19,5.3
2023,PH,4.62,4.91
2024,PH,4.75,4.91
