mountain,site,state,measure,year,id,species1,count,total_count,rel_freq,presence ,rel_point_count,species,mountain1
algonquin,T1,NY,point,1984,algonquin-T1-1984,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T1,NY,point,1994,algonquin-T1-1994,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T1,NY,point,2002,algonquin-T1-2002,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T1,NY,point,2007,algonquin-T1-2007,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T2,NY,point,1984,algonquin-T2-1984,Abies balsamea,0,570,0,0,0,Abies balsamea,Algonquin
algonquin,T2,NY,point,1994,algonquin-T2-1994,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T2,NY,point,2002,algonquin-T2-2002,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T2,NY,point,2007,algonquin-T2-2007,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T3,NY,point,1984,algonquin-T3-1984,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T3,NY,point,1994,algonquin-T3-1994,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T3,NY,point,2002,algonquin-T3-2002,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T3,NY,point,2007,algonquin-T3-2007,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
algonquin,T3,NY,point,2017,algonquin-T3-2017,Abies balsamea,0,600,0,0,0,Abies balsamea,Algonquin
AlpGard,T1,NH,line,1983,AlpGard-T1-1983,Abies balsamea,0,8433,0,0,0,Abies balsamea,Washington
AlpGard,T1,NH,line,2000,AlpGard-T1-2000,Abies balsamea,0,8464,0,0,0,Abies balsamea,Washington
AlpGard,T1,NH,line,2009,AlpGard-T1-2009,Abies balsamea,0,8452,0,0,0,Abies balsamea,Washington
AlpGard,T1,NH,line,2017,AlpGard-T1-2017,Abies balsamea,0,8441,0,0,0,Abies balsamea,Washington
iroquois,T3,NY,point,1984,iroquois-T3-1984,Abies balsamea,0,600,0,0,0,Abies balsamea,Iroquois
iroquois,T3,NY,point,1994,iroquois-T3-1994,Abies balsamea,0,600,0,0,0,Abies balsamea,Iroquois
MtLaf,T1,NH,line,1983,MtLaf-T1-1983,Abies balsamea,0,9024,0,0,0,Abies balsamea,Lafayette
MtLaf,T1,NH,line,2000,MtLaf-T1-2000,Abies balsamea,0,9094,0,0,0,Abies balsamea,Lafayette
MtLaf,T1,NH,line,2009,MtLaf-T1-2009,Abies balsamea,0,9105,0,0,0,Abies balsamea,Lafayette
algonquin,T1,NY,point,2017,algonquin-T1-2017,Abies balsamea,1,600,0.001666667,1,1,Abies balsamea,Algonquin
MtLaf,T1,NH,line,2017,MtLaf-T1-2017,Abies balsamea,20,9080,0.002202643,1,1,Abies balsamea,Lafayette
iroquois,T3,NY,point,2007,iroquois-T3-2007,Abies balsamea,2,600,0.003333333,1,2,Abies balsamea,Iroquois
MtLaf,T3,NH,point,2024,MtLaf-T3-2024,Abies balsamea,4,621,0.006441224,1,4,Abies balsamea,Lafayette
iroquois,T3,NY,point,2002,iroquois-T3-2002,Abies balsamea,15,600,0.025,1,15,Abies balsamea,Iroquois
MtLaf,T2,NH,point,2024,MtLaf-T2-2024,Abies balsamea,16,621,0.025764895,1,16,Abies balsamea,Lafayette
iroquois,T3,NY,point,2017,iroquois-T3-2017,Abies balsamea,22,600,0.036666667,1,22,Abies balsamea,Iroquois
wright ,T1,NY,point,1984,wright -T1-1984,Abies balsamea,30,600,0.05,1,30,Abies balsamea,Wright 
wright ,T2,NY,point,2017,wright -T2-2017,Abies balsamea,40,600,0.066666667,1,40,Abies balsamea,Wright 
wright ,T2,NY,point,2002,wright -T2-2002,Abies balsamea,44,600,0.073333333,1,44,Abies balsamea,Wright 
